team1Name,team2Name,week,day,start,end,season,league,location
Raystad Commandos,Ramirezmouth Dolphins,16,2,15.0,17.0,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,Shawnport Bucaneers,16,4,13.0,15.0,2024,Platinum League,Lake Jennifermouth Dome Field #1
Raystad Commandos,North Charles Sabres,16,3,7.0,9.0,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Ramirezland Pirates,16,1,8.0,10.0,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,Smithbury Chiefs,16,1,10.0,12.0,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,North Justinmouth Hornets,16,1,4.5,6.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Pattyport Hornets,16,2,17.0,19.0,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,Parkerstad Dolphins,16,3,10.5,12.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Underwoodfurt Celtics,16,3,12.5,14.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,New Dannyfort Mavericks,16,3,14.5,16.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,South Kyle Westerners,16,4,10.5,12.5,2024,Platinum League,North Christine Complex Field #1
Raystad Commandos,Lake Regina Wildcats,16,6,7.5,9.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,New Julie Bears,17,1,4.5,6.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,West Brittneystad Chiefs,16,4,15.0,17.0,2024,Platinum League,North Christine Complex Field #1
Raystad Commandos,North Donaldport Americans,16,3,16.5,18.5,2024,Platinum League,North Christine Complex Field #1
Raystad Commandos,Christinaton Robbers,16,6,9.5,11.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Lake Natalie Wildcats,16,6,11.5,13.5,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Hillborough Mavericks,16,6,13.5,15.5,2024,Platinum League,Lake Jennifermouth Dome Field #1
Raystad Commandos,Port Gordontown Mavericks,16,5,16.0,18.0,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Savagechester Grizzlies,17,1,8.5,10.5,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,Lake Melissaborough Sabres,17,3,7.0,9.0,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,Tinashire Vikings,16,7,14.0,16.0,2024,Platinum League,Wesleybury Place Field #1
Raystad Commandos,East Kimberlyshire Westerners,17,1,6.5,8.5,2024,Platinum League,Wesleybury Place Field #1
Ramirezmouth Dolphins,Shawnport Bucaneers,16,1,13.0,15.0,2024,Platinum League,Lake Dawn Hub Field #1
Ramirezmouth Dolphins,North Charles Sabres,16,4,11.5,13.5,2024,Platinum League,North Christine Complex Field #2
Ramirezmouth Dolphins,Ramirezland Pirates,16,1,11.0,13.0,2024,Platinum League,Wesleybury Place Field #1
Ramirezmouth Dolphins,Smithbury Chiefs,16,2,17.0,19.0,2024,Platinum League,Wesleybury Place Field #1
Ramirezmouth Dolphins,North Justinmouth Hornets,16,1,15.0,17.0,2024,Platinum League,West Anthonyhaven Facility Field #1
Ramirezmouth Dolphins,Pattyport Hornets,16,1,17.0,19.0,2024,Platinum League,North Christine Complex Field #1
Ramirezmouth Dolphins,Parkerstad Dolphins,16,2,19.0,21.0,2024,Platinum League,West Cliffordborough Complex Field #1
